,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
roc_auc,33,0.65903,0.76242,0.85587,0.79346,0.84,0.81348,0.86472
roc_auc,34,0.66444,0.77966,0.82433,0.80669,0.8236,0.78584,0.8499
roc_auc,35,0.67857,0.80969,0.82369,0.83027,0.83118,0.81192,0.86314
roc_auc,36,0.60434,0.81128,0.86099,0.81549,0.83511,0.80811,0.87106
roc_auc,37,0.63846,0.81424,0.80914,0.78595,0.79468,0.77536,0.85245
roc_auc,38,0.71606,0.81565,0.83054,0.83537,0.84959,0.8672,0.86133
roc_auc,39,0.65179,0.80424,0.79146,0.81033,0.7836,0.77816,0.82241
roc_auc,40,0.60022,0.7966,0.80743,0.77426,0.79962,0.73544,0.82437
roc_auc,41,0.68576,0.86111,0.88147,0.85876,0.85742,0.84299,0.88568
roc_auc,42,0.69625,0.80174,0.82216,0.80064,0.79874,0.81412,0.83109
roc_auc,43,0.70221,0.80669,0.81883,0.80721,0.79351,0.80868,0.83436
roc_auc,44,0.66348,0.78833,0.82455,0.79889,0.80478,0.79935,0.81085
roc_auc,45,0.69547,0.82083,0.87012,0.78888,0.83453,0.85245,0.85764
roc_auc,46,0.69248,0.83406,0.83953,0.84577,0.82027,0.80177,0.85118
roc_auc,47,0.63699,0.8096,0.79905,0.80837,0.8303,0.80333,0.8395
roc_auc,48,0.65215,0.81805,0.83261,0.82056,0.84033,0.82782,0.84973
roc_auc,49,0.68839,0.82834,0.85028,0.83182,0.8299,0.81503,0.8465
roc_auc,50,0.6054,0.80375,0.82638,0.78015,0.80947,0.77315,0.8258
roc_auc,51,0.70337,0.82103,0.87047,0.84109,0.82852,0.84204,0.8502
roc_auc,52,0.61603,0.75699,0.76627,0.72891,0.7514,0.76785,0.75534
roc_auc,53,0.68918,0.83508,0.83566,0.85153,0.82681,0.83621,0.8389
roc_auc,54,0.68218,0.80709,0.84886,0.82644,0.8424,0.78642,0.85723
roc_auc,55,0.66796,0.78825,0.81088,0.79535,0.8069,0.78076,0.83531
roc_auc,56,0.6272,0.75275,0.83429,0.78018,0.76602,0.76953,0.8161
roc_auc,57,0.7157,0.81296,0.8334,0.82593,0.82098,0.83887,0.854
roc_auc,58,0.61991,0.77364,0.81195,0.77987,0.78865,0.82024,0.84828
