,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
roc_auc,84,0.72689,0.78145,0.80193,0.83502,0.82556,0.83741,0.8669,0.86702,0.88826
roc_auc,85,0.76875,0.83905,0.84463,0.87302,0.89243,0.88564,0.91681,0.90043,0.92183
roc_auc,86,0.74923,0.7696,0.84896,0.85708,0.87924,0.90753,0.91008,0.9305,0.93453
roc_auc,87,0.71823,0.77396,0.78219,0.82154,0.84373,0.86454,0.87305,0.86458,0.86756
roc_auc,88,0.70405,0.77471,0.83265,0.84397,0.85187,0.86558,0.87976,0.88262,0.89073
roc_auc,89,0.71898,0.80866,0.81854,0.83594,0.85198,0.85222,0.85895,0.85687,0.85945
roc_auc,90,0.74357,0.79854,0.83229,0.84501,0.87489,0.88857,0.89295,0.91124,0.9276
roc_auc,91,0.78392,0.82889,0.8303,0.84049,0.86697,0.8968,0.89098,0.8895,0.92208
roc_auc,92,0.71846,0.78369,0.83145,0.82842,0.82732,0.81901,0.85074,0.85583,0.88119
roc_auc,93,0.76346,0.84942,0.86187,0.87854,0.89365,0.88803,0.87917,0.8854,0.91526
roc_auc,94,0.77771,0.82167,0.83282,0.86447,0.90021,0.9068,0.9112,0.89986,0.91561
roc_auc,95,0.73796,0.77314,0.82825,0.84117,0.85882,0.86613,0.87952,0.90629,0.90478
roc_auc,96,0.72209,0.79342,0.84453,0.87139,0.87359,0.88326,0.89964,0.90726,0.91354
roc_auc,97,0.75773,0.84071,0.86638,0.89338,0.89838,0.89177,0.90645,0.93193,0.91855
roc_auc,98,0.76057,0.8427,0.87664,0.89035,0.91251,0.91564,0.9144,0.92469,0.93047
roc_auc,99,0.74963,0.773,0.78782,0.79791,0.81375,0.80646,0.83802,0.83583,0.84379
roc_auc,100,0.73689,0.80719,0.83263,0.84306,0.85281,0.85519,0.85302,0.8722,0.89684
roc_auc,101,0.68011,0.78287,0.83539,0.86495,0.87655,0.8857,0.90166,0.90642,0.9217
roc_auc,102,0.74849,0.80871,0.83826,0.84068,0.87239,0.88186,0.90086,0.8952,0.90485
roc_auc,103,0.73765,0.81255,0.83653,0.85324,0.84782,0.84128,0.86739,0.86502,0.86955
roc_auc,104,0.71829,0.81707,0.8376,0.86695,0.86462,0.86356,0.87142,0.89829,0.88913
roc_auc,105,0.69027,0.7602,0.80889,0.82567,0.84915,0.86319,0.88047,0.86638,0.87148
roc_auc,106,0.79828,0.86406,0.87336,0.8795,0.87101,0.89627,0.90812,0.92194,0.94153
roc_auc,107,0.76267,0.82,0.83146,0.86133,0.86445,0.88216,0.89761,0.89672,0.90101
roc_auc,108,0.77104,0.85055,0.86709,0.87656,0.88261,0.89364,0.90563,0.91498,0.93067
roc_auc,109,0.72132,0.78249,0.81169,0.83011,0.85277,0.84054,0.86352,0.87839,0.88077
roc_auc,110,0.75165,0.81864,0.83225,0.85128,0.84856,0.85736,0.87456,0.87334,0.89014
roc_auc,111,0.75958,0.84198,0.85251,0.87354,0.8926,0.89089,0.89526,0.90071,0.91018
roc_auc,112,0.74775,0.85333,0.87296,0.88911,0.89236,0.90269,0.89994,0.91246,0.91492
roc_auc,113,0.77364,0.78845,0.80441,0.82178,0.85584,0.8467,0.85815,0.84517,0.87674
roc_auc,114,0.73973,0.77064,0.80027,0.8381,0.86801,0.89151,0.89798,0.8997,0.91075
roc_auc,115,0.76079,0.79215,0.81328,0.86283,0.8632,0.8391,0.87133,0.86768,0.88029
roc_auc,116,0.76029,0.80715,0.83853,0.83595,0.86611,0.87304,0.88001,0.88722,0.90632
roc_auc,117,0.69856,0.78833,0.82801,0.85341,0.87188,0.88455,0.8935,0.88589,0.91045
roc_auc,118,0.73333,0.81683,0.81989,0.86797,0.87693,0.87576,0.88702,0.89236,0.90379
roc_auc,119,0.81069,0.83748,0.85385,0.87723,0.8981,0.90852,0.90424,0.90183,0.90459
