,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
roc_auc,23,0.77394,0.78508,0.80932,0.90157,0.85371,0.84402,0.86673,0.87681,0.87655
roc_auc,24,0.73359,0.78696,0.79885,0.84443,0.82515,0.80901,0.8335,0.8284,0.84073
roc_auc,25,0.76922,0.81122,0.78545,0.8483,0.82364,0.83543,0.85921,0.86619,0.891
roc_auc,26,0.77835,0.78256,0.81367,0.83533,0.82536,0.83582,0.85399,0.87146,0.87915
roc_auc,27,0.68829,0.70022,0.74295,0.82472,0.82431,0.77501,0.79262,0.79955,0.79947
roc_auc,28,0.75301,0.78942,0.80945,0.84951,0.85208,0.81492,0.84234,0.8763,0.86329
roc_auc,29,0.73734,0.79694,0.816,0.87594,0.83434,0.8425,0.85332,0.85715,0.86426
roc_auc,30,0.78791,0.79983,0.81624,0.86563,0.87659,0.87268,0.84583,0.86847,0.87385
roc_auc,31,0.67943,0.71284,0.74406,0.80983,0.76031,0.76388,0.7805,0.82085,0.82148
roc_auc,32,0.70921,0.79869,0.77952,0.84125,0.82548,0.825,0.82903,0.84565,0.83839
roc_auc,33,0.72281,0.78053,0.7901,0.83309,0.78339,0.82648,0.80158,0.85446,0.83735
roc_auc,34,0.72397,0.71017,0.78827,0.84817,0.805,0.82722,0.83736,0.86115,0.86207
roc_auc,35,0.70263,0.78476,0.7756,0.84112,0.82321,0.80815,0.81017,0.82705,0.85243
roc_auc,36,0.71597,0.78044,0.76536,0.85461,0.80925,0.82689,0.81614,0.85125,0.84681
roc_auc,37,0.71951,0.78001,0.83041,0.84091,0.83124,0.81763,0.85539,0.85544,0.86801
roc_auc,38,0.75671,0.78289,0.80657,0.8682,0.85494,0.84414,0.83328,0.85784,0.87117
roc_auc,39,0.77857,0.76373,0.76983,0.83381,0.81873,0.81787,0.82398,0.85273,0.82588
roc_auc,40,0.71046,0.79989,0.7878,0.83999,0.83037,0.82611,0.83511,0.8614,0.85059
roc_auc,41,0.77332,0.77342,0.78928,0.87274,0.78885,0.83724,0.81362,0.85611,0.85577
roc_auc,42,0.71897,0.70651,0.77893,0.81886,0.83561,0.82413,0.77095,0.83811,0.81595
roc_auc,43,0.76584,0.78245,0.82148,0.83691,0.86053,0.83989,0.8611,0.88089,0.86858
