,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
roc_auc,15,0.74673,0.77899,0.80754,0.84671,0.84489,0.84576,0.84555,0.84164,0.87377,0.87994
roc_auc,16,0.7204,0.78105,0.79249,0.81242,0.80567,0.8261,0.83583,0.84025,0.86867,0.87753
roc_auc,17,0.7006,0.75991,0.78714,0.81094,0.81016,0.82935,0.83246,0.83749,0.85222,0.90012
roc_auc,18,0.76357,0.79793,0.81324,0.81456,0.82569,0.84188,0.86013,0.85609,0.87606,0.88493
roc_auc,19,0.79114,0.814,0.82788,0.84394,0.86541,0.87124,0.88387,0.88634,0.89051,0.9159
roc_auc,20,0.71851,0.76149,0.79341,0.82061,0.83065,0.83964,0.86328,0.87096,0.88541,0.91881
roc_auc,21,0.76146,0.76893,0.82619,0.8221,0.83825,0.85312,0.85792,0.85786,0.87979,0.90161
roc_auc,22,0.68366,0.75594,0.76214,0.78846,0.81096,0.81051,0.80871,0.82011,0.82439,0.84729
roc_auc,23,0.75342,0.81329,0.8302,0.85181,0.84355,0.8684,0.88724,0.8854,0.88808,0.90771
roc_auc,24,0.70875,0.75229,0.75971,0.79886,0.78461,0.80849,0.83489,0.83768,0.85302,0.8728
roc_auc,25,0.72438,0.76548,0.78861,0.83962,0.84214,0.86468,0.87493,0.85311,0.8827,0.89727
roc_auc,26,0.69195,0.71859,0.7786,0.78255,0.80531,0.80696,0.82842,0.83539,0.85938,0.89636
roc_auc,27,0.76355,0.80234,0.85751,0.86398,0.87914,0.88042,0.90865,0.89687,0.91543,0.9137
roc_auc,28,0.71259,0.74795,0.74279,0.78194,0.79203,0.81525,0.81465,0.83313,0.85244,0.90091
roc_auc,29,0.74033,0.78388,0.81774,0.82853,0.84089,0.85175,0.87199,0.87294,0.88759,0.91075
roc_auc,30,0.75138,0.79819,0.81184,0.83579,0.85053,0.85694,0.87337,0.87966,0.89033,0.9033
roc_auc,31,0.70681,0.78318,0.816,0.83371,0.82937,0.84055,0.8572,0.84756,0.86174,0.88389
roc_auc,32,0.71557,0.77703,0.80658,0.81487,0.82977,0.85217,0.85381,0.86615,0.88067,0.89258
roc_auc,33,0.74053,0.77495,0.79731,0.8251,0.82656,0.83474,0.84431,0.85071,0.86808,0.89128
roc_auc,34,0.74907,0.796,0.79197,0.81077,0.82599,0.83393,0.86474,0.84509,0.85478,0.87265
roc_auc,35,0.72319,0.75904,0.79579,0.82953,0.85249,0.85114,0.85071,0.85503,0.85009,0.86272
roc_auc,36,0.72778,0.75769,0.79608,0.81691,0.82357,0.82697,0.84126,0.83896,0.85699,0.87421
roc_auc,37,0.76992,0.82098,0.82891,0.86234,0.87319,0.88577,0.89385,0.90008,0.89117,0.90935
roc_auc,38,0.71088,0.75686,0.80102,0.82306,0.85029,0.86072,0.86192,0.86637,0.8705,0.88496
roc_auc,39,0.73209,0.7783,0.80259,0.84366,0.82998,0.83102,0.85557,0.85036,0.86722,0.90081
roc_auc,40,0.74864,0.78879,0.80775,0.84056,0.85637,0.87033,0.8815,0.89105,0.89875,0.90785
roc_auc,41,0.75489,0.79014,0.84288,0.84662,0.86041,0.8634,0.87053,0.87587,0.889,0.912
roc_auc,42,0.72021,0.76439,0.79464,0.79394,0.81039,0.82187,0.82233,0.84115,0.86245,0.87985
roc_auc,43,0.72056,0.732,0.76348,0.79898,0.81807,0.82453,0.85376,0.85825,0.88517,0.89171
roc_auc,44,0.69312,0.7545,0.79753,0.82827,0.85286,0.85334,0.87007,0.8757,0.88311,0.90177
roc_auc,45,0.75773,0.76474,0.7987,0.82945,0.82587,0.8331,0.87222,0.87697,0.89217,0.88105
