,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
roc_auc,101,0.77577,0.82545,0.83441,0.89136,0.86846,0.87185,0.89378,0.86562,0.89564,0.91066
roc_auc,102,0.78137,0.80752,0.80942,0.87251,0.87911,0.85033,0.86104,0.88526,0.89061,0.89535
roc_auc,103,0.73592,0.81258,0.8066,0.85574,0.84671,0.8257,0.86534,0.88487,0.86732,0.88053
roc_auc,104,0.77868,0.79638,0.81504,0.85428,0.86404,0.85159,0.86966,0.87457,0.87467,0.89151
roc_auc,105,0.76766,0.82408,0.83277,0.90513,0.89303,0.87743,0.89944,0.89247,0.91375,0.92196
roc_auc,106,0.76749,0.82681,0.85027,0.88645,0.88814,0.85954,0.89643,0.92187,0.90942,0.92825
roc_auc,107,0.72174,0.80047,0.79281,0.82472,0.81522,0.83672,0.85302,0.84371,0.85861,0.86997
roc_auc,108,0.71692,0.79144,0.82411,0.85499,0.87098,0.85448,0.87421,0.87385,0.88725,0.90082
roc_auc,109,0.74195,0.82851,0.84329,0.85951,0.86334,0.85922,0.89528,0.89657,0.90184,0.92187
roc_auc,110,0.75197,0.81621,0.81032,0.85082,0.85096,0.84203,0.85391,0.867,0.88064,0.89706
roc_auc,111,0.79609,0.82713,0.83602,0.86912,0.86268,0.86001,0.85943,0.8951,0.89244,0.90158
roc_auc,112,0.76816,0.82178,0.83815,0.88812,0.86488,0.88314,0.89962,0.91279,0.89991,0.9153
roc_auc,113,0.76001,0.80442,0.82191,0.84595,0.84968,0.84956,0.85208,0.86493,0.88682,0.90342
roc_auc,114,0.78666,0.84466,0.83125,0.89282,0.88579,0.87111,0.88623,0.88429,0.9013,0.92623
roc_auc,115,0.74181,0.79104,0.7916,0.83865,0.84285,0.82917,0.83528,0.86863,0.86518,0.8839
